color	ID	t_length	mean_size	N	length_%
black	IRIS_313-10124	3247224	53305.49108104999	697	0.8709304995651481
black	IRIS_313-10228	5365970	56054.45438375001	1125	1.4392113682691696
black	IRIS_313-10430	686274	37607.332087359995	220	0.1840620399741413
black	IRIS_313-10437	789171	33289.0687274	283	0.21166429755047292
black	IRIS_313-10440	2873998	56556.02783804001	584	0.770833804264659
black	IRIS_313-10453	1482711	44377.7647092	410	0.3976745574115096
black	IRIS_313-10469	521100	38431.10366496	167	0.13976449149444292
black	IRIS_313-10559	2007643	63234.00738471001	409	0.5384603104943044
black	IRIS_313-10564	1001552	45012.13957310001	279	0.2686237084872531
black	IRIS_313-10567	2866039	41402.71882925001	831	0.7686950316941711
black	IRIS_313-10568	1740263	38139.70233331001	549	0.4667519806832076
black	IRIS_313-10569	1894842	40921.0074469	560	0.5082182034607927
black	IRIS_313-10570	1079247	37985.66783939	342	0.2894659177375136
black	IRIS_313-10577	1261443	69058.34935371	215	0.3383284491231249
black	IRIS_313-10578	1197300	41883.40730591	339	0.3211256659113173
black	IRIS_313-10582	1628711	64575.41178716001	286	0.43682910226960886
black	IRIS_313-10631	2438495	45345.51017669	676	0.6540244689012041
black	IRIS_313-10642	365532	35926.96060268	120	0.09803823015713377
black	IRIS_313-10656	1950981	41266.53451123	584	0.5232678701955616
black	IRIS_313-10677	1962582	45548.006331130004	525	0.5263604881925928
black	IRIS_313-10679	1936794	39913.459965710004	578	0.5194619372554015
black	IRIS_313-10689	3523735	43490.84610045	983	0.9450580028046786
black	IRIS_313-10693	1528394	44667.62955071999	407	0.4099286239691303
black	IRIS_313-10703	3449795	42010.5313644	997	0.9252694869390692
black	IRIS_313-10704	3392943	48738.08572754	870	0.9100117351109219
black	IRIS_313-10722	4816595	51831.72888391	1095	1.2918547140047647
black	IRIS_313-10741	3794979	48094.01150481	910	1.0178557262711554
black	IRIS_313-10744	2999517	48883.53525963999	730	0.8044974594224187
black	IRIS_313-10759	4827478	52781.38444318999	1110	1.2947755021908571
black	IRIS_313-10761	3029645	41576.95541905	881	0.8125790453116912
black	IRIS_313-10765	2232889	47605.27576573	582	0.5988808278597718
black	IRIS_313-10766	7626196	61824.68716149	1506	2.0454407581151663
black	IRIS_313-10767	1875877	42009.765862099994	541	0.5031297851088343
black	IRIS_313-10770	3171895	42280.99476225	903	0.8507439815990966
black	IRIS_313-10780	3435678	45499.64417271999	931	0.9214808976513569
black	IRIS_313-10781	3342494	40235.39489658001	974	0.8964844558448805
black	IRIS_313-10789	3047738	50906.118147580004	766	0.8174425742419543
black	IRIS_313-10793	1607982	51615.47181196	389	0.431279401555153
black	IRIS_313-10794	2228318	48850.30357478001	530	0.5976561431247849
black	IRIS_313-10798	1783185	45101.29532405001	478	0.47826145285561633
black	IRIS_313-10801	5332981	43226.65151208	1468	1.4303503975351648
black	IRIS_313-10802	1676721	42691.581116919995	474	0.4497172304556699
black	IRIS_313-10805	1831428	42141.782397749994	525	0.49120643950049175
black	IRIS_313-10808	3839518	48518.49523149	956	1.029809618047911
black	IRIS_313-10815	3013112	48836.57758899001	695	0.8081482605819876
black	IRIS_313-10827	1286259	41890.86320253001	377	0.34498282126310165
black	IRIS_313-10828	3566933	47619.38116130001	907	0.95667599447305
black	IRIS_313-10831	2375213	50831.065448730005	571	0.6370534779301993
black	IRIS_313-10837	3007657	39802.73699665	894	0.8066895558389149
black	IRIS_313-10838	2174764	42371.95654362001	639	0.5832917830295774
black	IRIS_313-10839	2404484	39099.38348374	726	0.6448969984151012
black	IRIS_313-10840	1061410	57013.65183002	253	0.28467754322751826
black	IRIS_313-10848	5829545	49846.77656631	1428	1.5635271547488807
black	IRIS_313-10853	2750836	45401.059144599996	705	0.7377956186494214
black	IRIS_313-10862	4720898	44598.95637033001	1280	1.2661863503154691
black	IRIS_313-10865	13473068	48586.64688756	3374	3.61349167078818
black	IRIS_313-10866	2919048	46339.60506378001	763	0.7828781511711994
black	IRIS_313-10867	3077377	50918.949452630004	725	0.8253755413023781
black	IRIS_313-10870	2622126	57131.53487421	543	0.7032689987734098
black	IRIS_313-10874	3875244	46769.077195870006	981	1.039350533232506
black	IRIS_313-10884	6419931	52083.12427953	1219	1.7218715064843078
black	IRIS_313-10886	3335289	43762.20666643	933	0.8945509933417674
black	IRIS_313-10888	2317921	47022.20970748	594	0.6216830233030589
black	IRIS_313-10889	2312226	46641.87663004	573	0.620165405442723
black	IRIS_313-10890	2145866	49252.031188999994	522	0.5755370205685101
black	IRIS_313-10893	4786668	51495.34623622999	1153	1.2838160851040874
black	IRIS_313-10895	2101629	49492.149176809995	471	0.5636714115981845
black	IRIS_313-10916	2578097	42135.782236529994	717	0.6914611626912731
black	IRIS_313-10922	3760250	46699.68293317	1015	1.008529473239578
black	IRIS_313-10923	1777355	54368.43489222001	378	0.4766984493884028
